Product_code,Brand_name,Colour,Price_current_value,Price_currency,Image_url,Url
1565524,Pixi,Pas de couleur,22.99,EUR,images.asos-media.com/products/pixi-chloe-morello-gloss-bonbon/13429073-1-nocolour,pixi/pixi-chloe-morello-gloss-bonbon/prd/13429073?clr=pas-de-couleur&colourWayId=16471795
1565552,Pixi,Parfait,22.99,EUR,images.asos-media.com/products/pixi-chloe-morello-gloss-parfait/13429071-1-parfait,pixi/pixi-chloe-morello-gloss-parfait/prd/13429071?clr=parfait&colourWayId=16471796
1564815,New Look,Noir,25.99,EUR,images.asos-media.com/products/new-look-robe-pull-a-col-montant-noir/13422533-1-black,new-look/new-look-robe-pull-a-col-montant-noir/prd/13422533?clr=noir&colourWayId=16485365
1557066,Missguided,Noir,34.99,EUR,images.asos-media.com/products/missguided-body-en-satin-avec-decoupe-noir/13321256-1-black,missguided/missguided-body-en-satin-avec-decoupe-noir/prd/13321256?clr=noir&colourWayId=16465533
1555436,ASOS DESIGN,Gris,40.99,EUR,images.asos-media.com/products/asos-design-destiny-baskets-a-semelle-plateforme-epaisse-motif-serpent-gris/13300423-1-grey,asos-design/asos-design-destiny-baskets-a-semelle-plateforme-epaisse-motif-serpent-gris/prd/13300423?clr=gris&colourWayId=16536512
1554964,New Look Plus,Noir,17.99,EUR,images.asos-media.com/products/new-look-curve-girl-power-t-shirt-a-inscription-noir/13293194-1-black,new-look-plus/new-look-curve-girl-power-t-shirt-a-inscription-noir/prd/13293194?clr=noir&colourWayId=16472300
1549192,New Look,Rouille,25.99,EUR,images.asos-media.com/products/new-look-mini-jupe-boutonnee-avec-boucle-rouille/13220333-1-rust,new-look/new-look-mini-jupe-boutonnee-avec-boucle-rouille/prd/13220333?clr=rouille&colourWayId=16471035
1546663,Pink Clove,Imprimé à carreaux,33.99,EUR,images.asos-media.com/products/pink-clove-robe-chemise-a-carreaux-avec-ceinture/13190264-1-checkprint,pink-clove/pink-clove-robe-chemise-a-carreaux-avec-ceinture/prd/13190264?clr=imprime-a-carreaux&colourWayId=16467909
1545199,Missguided,Rose,74.99,EUR,images.asos-media.com/products/missguided-robe-courte-en-satin-a-volants-superposes-et-lacage-rose/13172476-1-pink,missguided/missguided-robe-courte-en-satin-a-volants-superposes-et-lacage-rose/prd/13172476?clr=rose&colourWayId=16470855
1544856,ASOS DESIGN,Jaune d'or,52.99,EUR,images.asos-media.com/products/asos-design-combinaison-asymetrique-en-neoprene-avec-nervures/13169246-1-goldenyellow,asos-design/asos-design-combinaison-asymetrique-en-neoprene-avec-nervures/prd/13169246?clr=jaune-dor&colourWayId=16532297
1543515,Liquorish,Noir/doré,66.99,EUR,images.asos-media.com/products/liquorish-pantalon-de-costume-ensemble-a-imprime-abstrait-dore-et-noir/13153617-1-blackgold,liquorish/liquorish-pantalon-de-costume-ensemble-a-imprime-abstrait-dore-et-noir/prd/13153617?clr=noir-dore&colourWayId=16453148
1543514,Liquorish,Noir/doré,82.99,EUR,images.asos-media.com/products/liquorish-blazer-de-costume-a-imprime-abstrait-ensemble-dore-et-noir/13153586-1-blackgold,liquorish/liquorish-blazer-de-costume-a-imprime-abstrait-ensemble-dore-et-noir/prd/13153586?clr=noir-dore&colourWayId=16453156
1542291,The Couture Club,Blanc,27.99,EUR,images.asos-media.com/products/the-couture-club-crop-top-cotele-blanc/13139076-1-white,the-couture-club/the-couture-club-crop-top-cotele-blanc/prd/13139076?clr=blanc&colourWayId=16466181
1541350,Missguided Plus,Multi,47.99,EUR,images.asos-media.com/products/missguided-plus-robe-courte-en-satin-torsade-sur-le-devant-imprime-echarpe/13128102-1-multi,missguided-plus/missguided-plus-robe-courte-en-satin-torsade-sur-le-devant-imprime-echarpe/prd/13128102?clr=multi&colourWayId=16465808
1539547,Stradivarius,Rose,12.99,EUR,images.asos-media.com/products/stradivarius-pull-classique-a-col-montant-rose/13107955-1-pink,stradivarius/stradivarius-pull-classique-a-col-montant-rose/prd/13107955?clr=rose&colourWayId=16463437
1538282,ASOS Curve,Argenté,62.99,EUR,images.asos-media.com/products/asos-design-curve-robe-mi-longue-plissee-style-kimono-effet-torsade-en-velours/13092001-1-silver,asos-curve/asos-design-curve-robe-mi-longue-plissee-style-kimono-effet-torsade-en-velours/prd/13092001?clr=argente&colourWayId=16473475
1536723,River Island Plus,Grey houndstooth,59.99,EUR,images.asos-media.com/products/river-island-plus-cardigan-long-en-maille-pied-de-poule/13075476-1-greyhoundstooth,river-island-plus/river-island-plus-cardigan-long-en-maille-pied-de-poule/prd/13075476?clr=grey-houndstooth&colourWayId=16455187
1534557,ASOS DESIGN,Noir/marron,50.99,EUR,images.asos-media.com/products/asos-design-combishort-contraste-en-pu-avec-fermeture-eclair-sur-le-devant/13055151-1-blackbrown,asos-design/asos-design-combishort-contraste-en-pu-avec-fermeture-eclair-sur-le-devant/prd/13055151?clr=noir-marron&colourWayId=16474145
1533984,Superdry,Rouille,69.99,EUR,images.asos-media.com/products/superdry-croyde-pull-en-maille-torsadee/13049231-1-rust,superdry/superdry-croyde-pull-en-maille-torsadee/prd/13049231?clr=rouille&colourWayId=16468711
1533845,Coconut Lane,Multi,11.49,EUR,images.asos-media.com/products/coconut-lane-porte-cartes-a-imprime-elephant-rose/13045932-1-multi,coconut-lane/coconut-lane-porte-cartes-a-imprime-elephant-rose/prd/13045932?clr=multi&colourWayId=16470629
1531027,ASOS Maternity,Lilac,34.99,EUR,images.asos-media.com/products/asos-design-maternity-jupe-longue-pres-du-corps/13035114-1-lilac,asos-maternity/asos-design-maternity-jupe-longue-pres-du-corps/prd/13035114?clr=lilac&colourWayId=16473802
